ContourID,SegmentID,X,Y
1,1,200.0,100.0
1,1,197.81476,120.791169
1,1,191.354546,140.673664
1,1,180.901699,158.778525
1,1,166.913061,174.314483
1,1,150.0,186.60254
1,1,130.901699,195.105652
1,1,110.452846,199.45219
1,1,89.547154,199.45219
1,1,69.098301,195.105652
1,1,50.0,186.60254
1,1,33.086939,174.314483
1,1,19.098301,158.778525
1,1,8.645454,140.673664
1,1,2.18524,120.791169
1,1,0.0,100.0
1,1,2.18524,79.208831
1,1,8.645454,59.326336
1,1,19.098301,41.221475
1,1,33.086939,25.685517
1,1,50.0,13.39746
1,1,69.098301,4.894348
1,1,89.547154,0.54781
1,1,110.452846,0.54781
1,1,130.901699,4.894348
1,1,150.0,13.39746
1,1,166.913061,25.685517
1,1,180.901699,41.221475
1,1,191.354546,59.326336
1,1,197.81476,79.208831
1,1,200.0,100.0
