ContourID,SegmentID,X,Y
1,1,0.0,0.0
1,1,8.0,0.0
1,1,16.0,0.0
1,1,24.0,0.0
1,1,32.0,0.0
1,1,40.0,0.0
1,1,48.0,0.0
1,1,56.0,0.0
1,1,64.0,0.0
1,1,72.0,0.0
1,1,80.0,0.0
1,1,88.0,0.0
1,1,96.0,0.0
1,1,104.0,0.0
1,1,112.0,0.0
1,1,120.0,0.0
1,1,128.0,0.0
1,1,136.0,0.0
1,1,144.0,0.0
1,1,152.0,0.0
1,1,160.0,0.0
1,1,168.0,0.0
1,1,176.0,0.0
1,1,184.0,0.0
1,1,192.0,0.0
1,1,200.0,0.0
1,1,200.0,8.0
1,1,200.0,16.0
1,1,200.0,24.0
1,1,200.0,32.0
1,1,200.0,40.0
1,1,200.0,48.0
1,1,200.0,56.0
1,1,200.0,64.0
1,1,200.0,72.0
1,1,200.0,80.0
1,1,200.0,88.0
1,1,200.0,96.0
1,1,200.0,104.0
1,1,200.0,112.0
1,1,200.0,120.0
1,1,200.0,128.0
1,1,200.0,136.0
1,1,200.0,144.0
1,1,200.0,152.0
1,1,200.0,160.0
1,1,200.0,168.0
1,1,200.0,176.0
1,1,200.0,184.0
1,1,200.0,192.0
1,1,200.0,200.0
1,1,192.0,200.0
1,1,184.0,200.0
1,1,176.0,200.0
1,1,168.0,200.0
1,1,160.0,200.0
1,1,152.0,200.0
1,1,144.0,200.0
1,1,136.0,200.0
1,1,128.0,200.0
1,1,120.0,200.0
1,1,112.0,200.0
1,1,104.0,200.0
1,1,96.0,200.0
1,1,88.0,200.0
1,1,80.0,200.0
1,1,72.0,200.0
1,1,64.0,200.0
1,1,56.0,200.0
1,1,48.0,200.0
1,1,40.0,200.0
1,1,32.0,200.0
1,1,24.0,200.0
1,1,16.0,200.0
1,1,8.0,200.0
1,1,0.0,200.0
1,1,0.0,192.0
1,1,0.0,184.0
1,1,0.0,176.0
1,1,0.0,168.0
1,1,0.0,160.0
1,1,0.0,152.0
1,1,0.0,144.0
1,1,0.0,136.0
1,1,0.0,128.0
1,1,0.0,120.0
1,1,0.0,112.0
1,1,0.0,104.0
1,1,0.0,96.0
1,1,0.0,88.0
1,1,0.0,80.0
1,1,0.0,72.0
1,1,0.0,64.0
1,1,0.0,56.0
1,1,0.0,48.0
1,1,0.0,40.0
1,1,0.0,32.0
1,1,0.0,24.0
1,1,0.0,16.0
1,1,0.0,8.0
1,1,0.0,0.0
