ContourID,SegmentID,X,Y
1,1,0.0,50.0
1,1,8.0,50.0
1,1,16.0,50.0
1,1,24.0,50.0
1,1,32.0,50.0
1,1,40.0,50.0
1,1,48.0,50.0
1,1,56.0,50.0
1,1,64.0,50.0
1,1,72.0,50.0
1,1,80.0,50.0
1,1,88.0,50.0
1,1,96.0,50.0
1,1,104.0,50.0
1,1,112.0,50.0
1,1,120.0,50.0
1,1,128.0,50.0
1,1,136.0,50.0
1,1,144.0,50.0
1,1,152.0,50.0
1,1,160.0,50.0
1,1,168.0,50.0
1,1,176.0,50.0
1,1,184.0,50.0
1,1,192.0,50.0
1,1,200.0,50.0
1,1,200.0,54.0
1,1,200.0,58.0
1,1,200.0,62.0
1,1,200.0,66.0
1,1,200.0,70.0
1,1,200.0,74.0
1,1,200.0,78.0
1,1,200.0,82.0
1,1,200.0,86.0
1,1,200.0,90.0
1,1,200.0,94.0
1,1,200.0,98.0
1,1,200.0,102.0
1,1,200.0,106.0
1,1,200.0,110.0
1,1,200.0,114.0
1,1,200.0,118.0
1,1,200.0,122.0
1,1,200.0,126.0
1,1,200.0,130.0
1,1,200.0,134.0
1,1,200.0,138.0
1,1,200.0,142.0
1,1,200.0,146.0
1,1,200.0,150.0
1,1,192.0,150.0
1,1,184.0,150.0
1,1,176.0,150.0
1,1,168.0,150.0
1,1,160.0,150.0
1,1,152.0,150.0
1,1,144.0,150.0
1,1,136.0,150.0
1,1,128.0,150.0
1,1,120.0,150.0
1,1,112.0,150.0
1,1,104.0,150.0
1,1,96.0,150.0
1,1,88.0,150.0
1,1,80.0,150.0
1,1,72.0,150.0
1,1,64.0,150.0
1,1,56.0,150.0
1,1,48.0,150.0
1,1,40.0,150.0
1,1,32.0,150.0
1,1,24.0,150.0
1,1,16.0,150.0
1,1,8.0,150.0
1,1,0.0,150.0
1,1,0.0,146.0
1,1,0.0,142.0
1,1,0.0,138.0
1,1,0.0,134.0
1,1,0.0,130.0
1,1,0.0,126.0
1,1,0.0,122.0
1,1,0.0,118.0
1,1,0.0,114.0
1,1,0.0,110.0
1,1,0.0,106.0
1,1,0.0,102.0
1,1,0.0,98.0
1,1,0.0,94.0
1,1,0.0,90.0
1,1,0.0,86.0
1,1,0.0,82.0
1,1,0.0,78.0
1,1,0.0,74.0
1,1,0.0,70.0
1,1,0.0,66.0
1,1,0.0,62.0
1,1,0.0,58.0
1,1,0.0,54.0
1,1,0.0,50.0
