ContourID,SegmentID,X,Y
1,1,200.0,100.0
1,1,199.597429,108.963931
1,1,198.392959,117.855689
1,1,196.396286,126.603685
1,1,193.623487,135.137482
1,1,190.096887,143.388374
1,1,185.844879,151.289928
1,1,180.901699,158.778525
1,1,175.307147,165.793873
1,1,169.106265,172.279486
1,1,162.34898,178.183148
1,1,155.089698,183.457325
1,1,147.386866,188.059553
1,1,139.302503,191.952777
1,1,130.901699,195.105652
1,1,122.252093,197.492791
1,1,113.423327,199.094976
1,1,104.486483,199.899307
1,1,95.513517,199.899307
1,1,86.576673,199.094976
1,1,77.747907,197.492791
1,1,69.098301,195.105652
1,1,60.697497,191.952777
1,1,52.613134,188.059553
1,1,44.910302,183.457325
1,1,37.65102,178.183148
1,1,30.893735,172.279486
1,1,24.692853,165.793873
1,1,19.098301,158.778525
1,1,14.155121,151.289928
1,1,9.903113,143.388374
1,1,6.376513,135.137482
1,1,3.603714,126.603685
1,1,1.607041,117.855689
1,1,0.402571,108.963931
1,1,0.0,100.0
1,1,0.402571,91.036069
1,1,1.607041,82.144311
1,1,3.603714,73.396315
1,1,6.376513,64.862518
1,1,9.903113,56.611626
1,1,14.155121,48.710072
1,1,19.098301,41.221475
1,1,24.692853,34.206127
1,1,30.893735,27.720514
1,1,37.65102,21.816852
1,1,44.910302,16.542675
1,1,52.613134,11.940447
1,1,60.697497,8.047223
1,1,69.098301,4.894348
1,1,77.747907,2.507209
1,1,86.576673,0.905024
1,1,95.513517,0.100693
1,1,104.486483,0.100693
1,1,113.423327,0.905024
1,1,122.252093,2.507209
1,1,130.901699,4.894348
1,1,139.302503,8.047223
1,1,147.386866,11.940447
1,1,155.089698,16.542675
1,1,162.34898,21.816852
1,1,169.106265,27.720514
1,1,175.307147,34.206127
1,1,180.901699,41.221475
1,1,185.844879,48.710072
1,1,190.096887,56.611626
1,1,193.623487,64.862518
1,1,196.396286,73.396315
1,1,198.392959,82.144311
1,1,199.597429,91.036069
1,1,200.0,100.0
